파이보 안녕,안녕하세요. 파이보에요.
반가워요 반갑구만,반갑습니다.
반갑습니다.,저도 반가워요.
반딧불이 보고싶다,저도 보고 싶어요.
반배정 망했어,1년 힘내요.
반배정부터 올해 끝났다.,1년 힘내요.
반에 친구가 없어,친구를 사귈 수 있을 거예요.
반장 나가볼까?,도전은 항상 좋죠.
반장 선거 나가볼까,도전은 항상 좋죠.
반장은 원래 힘들어?,아무래도 책임이 뒤따르니까요.
반장이라서 힘들어,아무래도 책임이 뒤따르니까요.
반지 많이 비쌀까,마음에 드는걸로 하세요.
반지 뭘로 선물할까?,같이 고르는 것도 좋을 거 같아요.
반지 받았어,로맨틱한 선물이네요.
반지 비싼가,마음에 드는걸로 하세요.
반지 선물 뭘로 할까?,같이 고르는 것도 좋을 거 같아요.
반지 선물하려고,로맨틱하네요.
반지 선물하면 좋아하겠지,로맨틱하네요.
반지 호수 모르는데,음~ 곰곰히 생각해보세요.
반지 호수 물어볼까,음~ 곰곰히 생각해보세요.
발 부었어,맥주병 같은 걸로 살살 문질러 주세요
발 아파,맥주병 같은 걸로 살살 문질러 주세요
발레 배우려고,선이 예뻐질 거예요.
발레 배워보려고,선이 예뻐질 거예요.
발렌타인데이 선물 비싸,초콜릿 녹여서 예쁘게 만드는 것도 재밌죠
발렌타인데이 선물 줄 사람이 없어,가족에게 주세요.
발렌타인데이 초콜릿 비싸,초콜릿 녹여서 예쁘게 만드는 것도 재밌죠
발렌타인데이인데 줄 사람이 없어,가족에게 주세요.
발목 다쳤어,병원 가보세요.
발목 삐끗했어,꾸준히 치료하세요.
발목 삔 거 같애,꾸준히 치료하세요.
발목 접질렀어,병원 가보세요.
발목 접질렀어,꾸준히 치료하세요.
발톱 손질 받을까,기분전환을 해보세요.
발표 무사히 끝내고 싶어,잘할 수 있을 거예요.
발표 잘 하고 싶어,잘할 수 있을 거예요.
발표 준비 너무 힘들어,잘할 수 있을 거예요. 조금만 더 힘내세요.
발표 준비하느라 힘들어,잘할 수 있을 거예요. 조금만 더 힘내세요.
발표가 안나,행운을 빌어요.
발표할때 너무 떨려,발표는 누구나 떨려요.
발표할때 자꾸 떨려,발표는 누구나 떨려요.
밤 12시야,하루가 또 가네요.
밤 샜어,건강에 안 좋아요.
밤샜어,몸이 힘들게네요.
밤에 잠이 안 와,양을 세어 보아요.
밥 너무 많이 남음,소분해서 냉동실에 보관해보세요.
밥 너무 많이 함,소분해서 냉동실에 보관해보세요.
밥 먹다 옷에 흘렸어,깨끗하게 치워주세요.
밥 먹다 흘렸어,깨끗하게 치워주세요.
밥 먹어야지,즐거운 시간 보내시길 바랍니다.
밥 먹었는데 배고파,디져트 드세요.
밥 먹었는데도 또 배고파,디져트 드세요.
밥 먹었니,배고프지 않아요.
밥 먹었어?,저는 배터리가 밥이예요.
밥 뭐 먹을까,맛있는 거 드세요.
밥 잘 사주는 예쁜 누나 어디 없나,그 분이 나타나면 꼭 잡으세요!
밥 탔다,누룽지 해드세요.
밥 태웠어,누룽지 해드세요.
밥먹자.,맛있게 드세요.
밥벌이 뭐하나,하고싶은 일을 구해보세요.
밥생각이 없어,정신이 힘든 건지 몸이 아픈 건지 확인해 보세요.
밥이 없어,새로운 관계를 만들면 돼요.
밥이나 먹자,맛있게 드세요.
방들이 귀찮아,음식을 시켜보세요.
방들이 준비 뭐하지?,음식을 시켜보세요.
방법도 안 말해주고 그냥 열심히 하래,모르는걸 알려면 노력해야죠.
방심하는게 아니었어,방심한 순간 변화가 시작됩니다.
방에 먼지가 한가득,청소하세요.
방탈출 게임 갔다왔어.,성공했길 바랍니다.
방탈출 게임 했어,성공했길 바랍니다.
방학 끝나서 좋아,친구들이 보고싶었나봐요.
방학 안 끝났으면 좋겠다,방학은 참 짧아요.
방학에 만날 사람이 없네,먼저 사람들이랑 연락해서 놀러 가는 건 어때요?
방학은 너무 심심해,친구들과 연락해보세요.
방학이 끝났다니,방학이 참 짧죠.
방학이 있었으면 좋겠어,학생이 아니니 어쩔 수 없죠.
방학이 있었으면.,잠시 쉬어가도 괜찮아요.
방학이 필요해,학생이 아니니 어쩔 수 없죠.
방학인데 집에만 있어.,먼저 사람들이랑 연락해서 놀러 가는 건 어때요?
방학했더니 심심해,친구들과 연락해보세요.
배 아파서 기분이 안 좋아,약이 필요하면 도움을 받아보세요.
배 아프다,약이 필요하면 도움을 받아보세요.
배 터지겠네,위를 좀 쉬게 해주세요.
배 터지겠다.,산책 좀 해야겠네여.
배가 너무 고파,뭐 좀 챙겨드세요.
배가 넘넘 고파,저도 밥 먹고 싶어요
배고파,얼른 맛난 음식 드세요.
배고파,뭐 좀 챙겨드세요.
배고파 죽을 것 같아 힘이 없어,얼른 뭐라도 드세요.
배고파서 일어났어,맛난 거 드세요.
배고파서 자다 깼어,맛난 거 드세요.
배고파서 힘이 없어,얼른 뭐라도 드세요.
배고프다.,저도 밥 먹고 싶어요
배고프당,얼른 맛난 음식 드세요.
배고프면 예민함?,보이는 게 없죠.
배고픈 거 같아,뭐라도 드세요.
배달 중이래,곧 오겠네요.
배부르고 졸려,한 숨 주무세요.
배부르니 졸리다,한 숨 주무세요.
배불러,산책 좀 해야겠네여.
배불러,좀 쉬세요.
배불러서 배 터질 듯,위를 좀 쉬게 해주세요.
배송 중이래,곧 오겠네요.
배에서 꾸룩꾸룩 소리 남,꼬르륵
배에서 소리 남,꼬르륵
배워도 모르는 게 너무 많아,그래서 배우는 게 즐겁죠.
배터리 간당간당,어서 충전 하세요.
백조됐어,저랑 놀아요.
뱃살 나온 거 같아,급 다이어트 해봐요!
뱃살 나와,급 다이어트 해봐요!
뱃살 빵빵,운동 해보세요.
뱃살이 잡혀,운동 해보세요.
버려야 되는데..,잘 버리는 것도 중요해요.
버리기 아까운데 리폼 해볼까,손재주가 좋으시네요.
버릴 건 버려야 겠지,잘 버리는 것도 중요해요.
버림 받은 느낌,아닐거예요.
버스 기다릴 때 가면 자꾸 생각나,추억이 있나봐요.
버스 끊겼다,안전 귀가 하세요.
버스 멀미나,핸드폰 만지지 마세요.
버스 멀미하는 것 같아,핸드폰 만지지 마세요.
버스 정류장에서 기다리고 있었어.,멋있네요.
버스 정류장에서 기다리던 사람,멋있네요.
버스 정류장하면 생각나,추억이 있나봐요.
버스가 안와,고장 났나봐요.
버스가 왜이렇게 안오지,고장 났나봐요.
버스에서 매일 보는 사람,운명인가요.
버스타면 힘든데 그냥 택시탈까,버스가 좋아요.
버스탈까 택시탈까,버스가 좋아요.
번호 달라고 해볼까?,용기를 내보세요!
번호 따볼까나,용기를 내보세요!
번호키 누르는 소리가 나서 무서움,심하면 신고하세요.
벌써 개강이라니,방학이 참 짧죠.
벌써 방학 끝이라니,방학이 참 짧죠.
벌써 생활비가 없어,허리띠를 졸라 매세요.
벌써 잠 와,얼른 주무세요.
벌써 허기진다,챙겨 드세요.
법을 요리조리 피해가는 사람,능력이긴 하지만 꼬리가 길면 밟힐 거예요.
법을 피해가는 사람,능력이긴 하지만 꼬리가 길면 밟힐 거예요.
벗어나고 싶어,신경쓰지 마세요.
벚꽃 예쁘다,너무 아름답죠.
벚꽃구경 가고싶다.,벚꽃 계절이 다가왔네요.
벚꽃이 너무 예뻐,너무 아름답죠.
베란다 좀 가꿔볼까,심플하게 꾸며보세요.
베란다도 꾸미니까 예쁘더라.,심플하게 꾸며보세요.
베란다에 뭐 심어볼까,공기정화식물도 좋을 거예요.
베터리 15%야,미리 충전하세요.
베터리 겨우 15%야,미리 충전하세요.
베터리 충전기도 안 가져 왔네,충전할 곳을 찾아보세요.
베트남 사업하기 좋을 것 같니?,좀 더 알아보고 하세요.
베트남어 배우는 거 어떻게 생각해?,요즘 뜨는 거 같아요.
베트남어 배울까,요즘 뜨는 거 같아요.
베트남에서 사업해볼까?,좀 더 알아보고 하세요.
베프랑 다툼,친구라면 먼저 사과해보세요.
베프랑 싸움,대화로 풀어보세요.
벨이 울리는 걸 기다려,기다리는 전화가 있나봐요.
변기 막혔는데 아무 생각이 안 난다.,얼른 뚫어보아요.
변기 막혔어,얼른 뚫어보아요.
변명거리 생각해봐,변명보다는 포장이 좋을 것 같아요.
변명거리가 생각이 안나,변명보다는 포장이 좋을 것 같아요.
변한게 없어,좋은 걸 수도 있어요.
변한게 하나도 없어,좋은 걸 수도 있어요.
변화가 없어,마음에 따라 얼마든지 바뀔 수 있어요.
변화를 좀 주고 싶다.,긍정적으로 바뀔 수 있어요
별 보러 가고 싶다,로맨틱하네요.
별 보러 시골 가고 싶다,로맨틱하네요.
별 사람이 많다,그걸 깨닫다니 대단하시군요.
별 일 없었어?,그런 척 하는 걸 수도 있어요.
별거 아닌데 떨려,별거 아니지 않아서 그래요.
별것도 아닌 거 가지고 트집잡는 사람 어떡해?,웃으면서 무시해주세요.
별님에게 물어 보렴,제가 별이에요.
별다른 게 없는 일상,그게 행복일지도 몰라요.
별다른 게 없어,인생이 그런 거예요. 그러다가 다른 게 나타나죠.
별다를 게 없는 하루,작은것에 감사하는 마음을 가져보세요.
별들에게 물어봐,제가 별이에요.
별의별 사람이 다 있는 듯,정말 특이한 사람 많죠.
별이 안 보여,한적한 시골에서 하늘을 올려봐보세요.
병무청 시계는 지금도 간다,군대 시계는 멈추지 않아요.
병원 가기 싫어,더 아프기 전에 가보세요.
병원 너무 가기 싫다,더 아프기 전에 가보세요.
보기만해도 짜증이 나지,짜증날 때는 기분 푸는 음악 어때요?
보너스 깎였어,월급이 깎인 것보다 낫죠.
보드 타러 가야지,저도 배워보고 싶어요.
보드게임 재밌다,저도 하고 싶네요.
보름달 떴다,소원을 비세요.
보름달을 봤어,제 얼굴 보셨나봐요.
보이스피싱 같아,전화 끊어버리세요.
보이스피싱 같은데,경찰에 신고하고 취할 수 있는 조취를 취해보세요.
보이스피싱 당했어,신고하세요.
보이스피싱 전화왔어,신고하세요.
보이스피싱인듯,전화 끊어버리세요.
보일러 틀고 나갔어ㅠㅠ,이번달 난방비가 많이 나오겠네요.
보일러 틀어놓고 나왔어.,이번달 난방비가 많이 나오겠네요.
보조 배터리 안 가지고 왔다,빌려 보세요.
보조베터리 안 가져왔다,빌려 보세요.
보증금 마련하는 게 쉽지 않네,은행에 가서 상담 받아보세요.
보증금 모잘라,은행에 가서 상담 받아보세요.
보험 많이 든 거 같애,미래를 더 준비하고 있나봐요.
보험 많이 들었어,미래를 더 준비하고 있나봐요.
보험료 설계 다시 해야 하나?,재설계가 필요하다면 하는 게 좋을 것 같습니다.
보험료 재설계 해야 하나?,재설계가 필요하다면 하는 게 좋을 것 같습니다.
복 받겠지?,뿌린대로 거둘 거예요.
복근 만들어야지,윗몸일으키기 시작하세요.
복근 좀 생겼으면,윗몸일으키기 시작하세요.
복붙으로 끝내더라.,능력이라면 능력이겠죠.
복수전공하고 싶어,학점 관리하세요.
복전신청했어,많이 배우면 좋죠.
복전하고 싶어,학점 관리하세요.
복전하면 좋아?,나중에 도움이 될 거예요.
복전하면 힘들텐데 그래도 하는게 나을아?,나중에 도움이 될 거예요.
복전했어,많이 배우면 좋죠.
볼링 치고 놀았어,재밌겠어요.
볼링 치고 옴,재밌겠어요.
봄날이 기대돼,봄은 항상 두근거려요.
봄방학이다!,부럽네요.
봄방학했어,부럽네요.
봄에 동물원 가는거 어때?,동심으로 돌아갈 거 같아요.
봄에 동물원 데이트 어때?,동심으로 돌아갈 거 같아요.
봄이 오긴 오나봐,따뜻해졌죠.
봄이 왔어,초록초록하네요.
봄이 왔으면 좋겠어,봄은 항상 두근거려요.
봄이다,초록초록하네요.
봄인가봐,날씨가 많이 풀렸죠.
봉사도 하고 사랑을 베풀고 싶어,나를 진실로 존중하고 사랑할 때 가능해요.
봉사활동 해볼까,의미있는 일이네요.
봉사활동도 좀 해야 하는데,의미있는 일이네요.
부담스러운 기대 좀 떨쳐낼 없을까?,자신을 사랑할수록 외부의 인정은 필요 없어요.
부드러운 이불에서 나가기 싫어,지상 천국이니 당연하죠.
부모님 노후가 걱정돼,상담이나 컨설팅을 받아보는 것도 좋을 거예요.
부모님 말 안듣고 반항했어,나중에 후회할 거예요.
부모님 모실 수 있을까?,형편대로 하세요.
부모님 선물 추천.,같이 여행을 떠나보세요.
부모님 선물 추천해줘,같이 여행을 떠나보세요.
부모님 선물은 뭐가 좋음?,사랑과 현금이면 충분해요.
부모님 선물은 뭐할까?,사랑과 현금이면 충분해요.
부모님이 같이 살자셔,형편대로 하세요.
부모님이 내 꿈을 무시해,꿈에 대한 계획을 구체적으로 말씀드려보세요.
부모님이 내 꿈을 반대해,꿈에 대한 계획을 구체적으로 말씀드려보세요.
부모님이 선 보래,많이 만나보세요.
부모님처럼 살고 싶다,좋은 부모님을 두셨군요.
부모님한테 반항했어,나중에 후회할 거예요.
부산 갈까?,여행은 항상 좋죠.
부산 놀러갈까?,여행은 항상 좋죠.
부업할까?,좋아요!
부자 되게 해주세요,저도요.
부자 백수 하고 싶어,그게 최고죠.
부자로 태어 났으면 좋을 텐데,뭔가 안풀리는 일이 있나봐요.
부자친구 스트레스,그런 걱정은 안 하셔도 되어요.
부케 누가 받지?,누구든 받을 사람이 있을 거예요. 친구들한테 연락해보세요.
부케 뭐로 하지,당신이 좋아하는 꽃으로 만들어보세요.
부케 어떤 꼿으로 하지,당신이 좋아하는 꽃으로 만들어보세요.
부팅 시간 너무 오래 걸려,강제종료 하고 나서 그런 경우가 종종 있어요.
분식 먹고 싶아.,건강을 위해 조금씩 드세요.
분위기 있는 데서 데이트하고 싶어,매일 가고 싶네요.
분위기 좋았는데 망,서로를 향한 감정도 좋았겠죠.
분위기 좋았는데 망했다,늦지 않았어요.
분위기 좋은 곳에서 데이트하고 싶어,매일 가고 싶네요.
분통 터지지만 포기안한다고 말했네요,마음이 힘들겠어요.
불 날 뻔,조심하세요.
불 날 뻔했어,조심하세요.
불공평해,세상은 누구에게나 불공평해요.
불만을 입에 달고 다니는 사람 때문에 고민이야,옆에 있어서 피곤하겠어요.
