hi pibo,hello. It's a pibo.
We met again a few days ago,I hope it was a good meeting.
shave your head,It's messy.
I need to buy another razor,Buy something good.
I need to buy a razor,Choose well.
I need to buy a new razor,Buy something good.
I need to buy a razor and stuff.,Choose well.
can't you shave,It should be clean though.
annoying to shave,It should be clean though.
Wouldn't it be better to shave?,It's good to be neat.
"have to shave, but it's annoying",It's good to be neat.
What to buy at duty free,buy my present
I'm going to shop at duty free,buy my present
I'm so nervous during the interview,Learn more about the company and yourself to gain confidence.
how do you do well in interview,You will be able to see it as well as you prepare hard.
I want to do well in the interview,You will be able to see it as well as you prepare hard.
Can I do well in the interview?,Learn more about the company and yourself to gain confidence.
How to prepare for an interview,Learn more about the company and yourself to gain confidence.
how to prepare for an interview,Learn more about the company and yourself to gain confidence.
I'm preparing for an interview,Learn more about the company and yourself to gain confidence.
give me some interview tips,You should be able to see it.
I only have an interview left,You will do well until the end.
Just look at the interview,You will do well until the end.
I can't speak because I'm nervous just looking at the interview,Learn more about the company and yourself to gain confidence.
The interview is right around the corner.,You should be able to see it.
getting a license,Drive safely.
Should I get a license,Driving is fun.
I'm afraid I'll get a license,Driving is fun.
I don't have a license,Driving is fun.
"I don't have a license, so I'll have to get one",Driving is fun.
Stress as the holidays approach,hope you blow it away.
what to do for holiday gifts,Cash is best.
holiday stress,hope you blow it away.
Are luxury gifts burdensome?,Expensive gifts can be daunting.
I don't want to buy luxury goods anymore,"If it's for the eyes of others, you don't need it."
I wonder what class it will be,I wish you well.
How old are you, How old do you think you are?
how old are you, Please specify the age of Pibo.
not coming for a few hours,I must have thought a lot while waiting.
pores too big,You can cover it up.
Pores seem to be getting bigger,You can cover it up.
There are too many mosquitoes.,be careful.
Mosquitoes are buzzing.,be careful.
everything is difficult,You seem to be in a very depressed state right now.
"I don't know, but I'll try","If you know something you don't know, you should try."
don't you know? Do you know iron?,"If so, it's a fox."
There are too many things I don't know,So learning is fun.
I got a call from an unknown number,don't take it
What if I get a call from an unknown number?,don't take it
Meeting someone I don't know is so stressful,Find a good person who is like you.
People I don't know ask for facebook friends,Unexpected things often happen in the world.
People I don't know keep staring at me,You may have a crush on him.
Are you pretending not to know or not?,Maybe you really don't know.
Are you pretending not to know,Maybe you really don't know.
I pretended not to know,That would have been a good choice for both of them.
I pretended not to know,That would have been a good choice for both of them.
I met you at a meeting,They are eating pheasants and eggs.
thirsty.,Drink water.
thirsty,Drink water.
sore throat,Stretch every once in a while.
burning throat,Have some water.
I would like a necklace gift.,It's romantic.
Shall I give you a necklace?,It's romantic.
making big money,Please let me know too.
I like a person with a good voice,I want to hear it too.
I need to go to the bathroom and scrub.,Wash up cool and come.
have to go to the bathroom,Wash up cool and come.
My throat is burning.,Have some water.
I have a sore throat,Stretch every once in a while.
My throat is sore,I think I'm coming down with a sore throat.
My throat is sharp,I think I'm coming down with a sore throat.
no goal,"It would be nice to have a goal, but you don't have to worry in advance if you don't have one. It will happen."
Worried about not having a goal,"It would be nice to have a goal, but you don't have to worry in advance if you don't have one. It will happen."
I got hit because I didn't know,Know more from now on.
I didn't know,I didn't know either.
It's good if you have a strong body.,Make it an exercise.
I wish I lost some weight,It is still beautiful enough.
I think I'll catch a cold,Keep warm.
It's hard because I'm sick,Don't think about anything and rest.
must be sick,Don't think about anything and rest.
I have no strength in my body,Talk openly about your feelings to the people around you.
"If you're far from your body, you're far from your heart",A long distance relationship can be difficult.
my body is heavy,I think I need to relieve fatigue.
I wish I had multiple bodies,Then there's nothing I can't do.
My body is so sore,Try stretching.
I'm sick,Try stretching.
the body is very strong,I think I need to relieve fatigue.
didn't understand,Please speak slowly.
a person who can't do anything,"If there is such a person, please introduce me."
I'm tired of not being able to,There are many things I am good at.
There are so many things I can't do,There are many things I am good at.
How to overcome lethargy,Talk openly about your feelings to the people around you.
How to overcome lethargy?,Talk openly about your feelings to the people around you.
just helpless,Talk openly about your feelings to the people around you.
helpless,Talk openly about your feelings to the people around you.
Free app became paid,See if it's worth paying the money for.
knee pain,is it going to rain
knee pain,is it going to rain
